# confounder_checks | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
check,value
phase_pct_G1_target,58.83703136954858
phase_pct_G1_rest,47.04003887606519
n_target_all_phases,2614.0
n_target_within_G1_recomputed,1201.0
jaccard_target_vs_G1_recomputed,0.7568954457985888
auroc_doublet_predicts_EMT_B_MESENCHYMAL_high,0.5619016545281833
rho_doublet_score_EMT_B_MESENCHYMAL,0.19990825422363848
auroc_doublet_predicts_EMT_A_MESENCHYMAL_high,0.5574253871226299
rho_doublet_score_EMT_A_MESENCHYMAL,0.17086239592387775
auroc_doublet_predicts_EMT_C_MESENCHYMAL_high,0.5644690350979187
rho_doublet_score_EMT_C_MESENCHYMAL,0.20961389723981563
pct_predicted_doublet_target,0.07651109410864575
pct_predicted_doublet_rest,0.2499175619153404
